Hid,State,City,Category,Alcohol,Hotel Name,Address,Start Date,Expiry Date,Total Rooms
1,Delhi,New Delhi,1 Star,,Hotel LA (A unit of L A Hotels And Retreats Pvt. Ltd.),"plot no A-1, Community Centre, Road No 43, Mangolpuri Industrial Area Phase - 2, Pitampura New Delhi",20/01/2020,19/01/2025,35
2,Gujarat,Adalaj,1 Star,,"Amba Suites, Unit of Amba Township Private Limited","Amba Business Park, Shivam â€“ II, Sub-Plot No. M1, Block No. 477 & 478",15/07/2022,14/07/2027,64
3,Gujarat,Ahmedabad,1 Star,,Hotel Pragati The Grand (A Unit of Pragati The Grand Residency),"SP-2,FP 2342,PAIKI, NR ZYDUS CADILA HOSPITAL,HEBATPUR ROAD,THALTEJ Ahmedabad",22/09/2021,21/09/2026,45
4,Gujarat,Ahmedabad,1 Star,,Hotel Rezaas,"375-1, Sheetal Baug, Nr. Girish Cold Drink, Off C. G. Road, Mithakhali, Ellisbridge, Ahmedabad-380006",31/10/2018,30/10/2023,38
5,Gujarat,Anand,1 Star,,HOTEL ARIZONA INN,"OPP. S R PARK, ANAND- SOJITRA ROAD, ANAND- 388001",1/9/2020,31/08/2025,28
6,Gujarat,Bhavnagar,1 Star,,Blackbuck Safari Lodge,"Near Narmada Canal, Velavadar- Ayodhyapuram Road, Village-Rajgadh, Taluka- District-Bhavnagar",19/04/2022,18/04/2027,18
7,Gujarat,Gandhinagar,1 Star,,7 Wonders,"Ugati Corporate Park, Opp. Pratik Mall, Kudasan - Por Road, Kudasan",9/1/2020,8/1/2025,19
8,Gujarat,Gandhinagar,1 Star,,Jinanssh Hotels,"White House, Near Vijay Petrol Pump, Opp. Sachivalaya, Sector 11",17/11/2022,16/11/2027,58
9,Gujarat,Morvi,1 Star,,Avadh Fun Hub,"Revenue Survey No. 609 Paiki 2, Opp. Dhartidhan Hotel, Rajkot Morvi Highway, Nr. Lajai Chowkdi",6/5/2022,5/5/2027,12
10,Gujarat,Rajkot,1 Star,,The Pinevinta Hotel,"Near Bombay Petrol Pump, Gondal Road Rajkot",8/8/2022,7/8/2027,25
11,Gujarat,Surat,1 Star,,"GEN X, SURAT (A UNIT OF KADODARA HOTELS)","415, 4TH FLOOR, CHHATRALA CITY CENTER, NATIONAL HIGHWAY -08, NEAR KADODARA CHAR RASTA, AT & POST- UMBHEL, TAL- KAMREJ, SURAT-394325 Surat Surat Surat",7/8/2020,6/8/2025,49
12,Gujarat,Vadodara,1 Star,,HOTEL APPLE GRAND ,SURVEY NO 564 AND 565 N H 08 VILLAGE - TARASALI VADODRA BY PASS,26/05/2022,25/05/2027,42
13,Gujarat,Vadodara,1 Star,,VADPADRAKA HOTEL & RESORT,"VADPADRAKA HOTEL & RESORT, SURVEY NO 58/B/ PAIKI, BETWEEN SUMANDEEP AND PARUL UNIVERSITY, OPPOSITE VNS HOSTEL AT DATTAPURA, P.O. LIMDA 391760, GUJARAT",19/12/2019,18/12/2024,18
14,Gujarat,Veraval,1 Star,,The Divine Water World,"Junagadh Somnath Highway, Near Dari Toll Plaza, Opp. Over Bridge, Village Dari",9/9/2022,8/9/2027,23
15,Madhya Pradesh,Dhar,1 Star,,HOTEL JAHAJMAHAL,"MANDU, MADHYA PRADESH",2/8/2018,1/8/2023,25
